image|caption_number|caption
1020651753_06077ec457.jpg|1|Egy fekete-fehér kutya felugrik egy sárga játék felé.
1020651753_06077ec457.jpg|2|Egy kutya ugrik, hogy elkapjon egy labdát a mezőn.
1020651753_06077ec457.jpg|3|Egy fehér kutya próbál elkapni egy labdát a levegőben egy füves területen.
1020651753_06077ec457.jpg|4|A fehér kutya zöld mezőn játszik egy sárga játékkal.
1022454332_6af2c1449a.jpg|0|Egy gyerek és egy nő a víz szélén vannak egy nagyvárosban.
1022454332_6af2c1449a.jpg|1|egy nagy tó , melyben magányos kacsa úszik , több emberrel a szélén .
1022454332_6af2c1449a.jpg|2|Egy kisfiú a tónál kacsát néz .
1022454332_6af2c1449a.jpg|3|Egy fiatal fiú integet a kezével a kacsának a zöld parkkal körülvett vízben.
1022454332_6af2c1449a.jpg|4|Két ember van egy tó szélén, a vízre és a városra néznek.
1022454428_b6b660a67b.jpg|0|Egy házaspár és egy csecsemő, akiket a hím tart, egy tó mellett ülnek, babakocsival.
1022454428_b6b660a67b.jpg|1|Egy pár ül a füvön babával és babakocsival.
1022454428_b6b660a67b.jpg|2|Egy pár újszülött babájával egy fa alatt ül a tóval szemben.
1022454428_b6b660a67b.jpg|3|Egy férfi és egy nő egy csecsemőről gondoskodik a vízpart mentén.
1022454428_b6b660a67b.jpg|4|Pár egy babával a szabadban ül a babakocsija mellett.
1022975728_75515238d8.jpg|0|Egy fekete kutya fut a szörfön.
1022975728_75515238d8.jpg|1|Egy fekete labor címkékkel a vízben hancúroz .
1022975728_75515238d8.jpg|2|Egy kutya fröccsen a vízbe
1022975728_75515238d8.jpg|3|A fekete kutya átfut a vízen.
1022975728_75515238d8.jpg|4|Ez egy fekete kutya, aki a vízben csobban.
102351840_323e3de834.jpg|0|Egy ember lyukat fúr a jégbe.
102351840_323e3de834.jpg|1|Egy férfi egy tó befagyott jegén keresztül fúródik.
102351840_323e3de834.jpg|2|Egy személy a hóban lyukat fúr a jégbe.
102351840_323e3de834.jpg|3|Egy személy egy befagyott tavon áll.
102351840_323e3de834.jpg|4|Két férfi jéghorgászik.
1024138940_f1fefbdce1.jpg|0|Két különböző fajta barna és fehér kutya játszik a tengerparton.
1024138940_f1fefbdce1.jpg|1|Két kutya kanyarodik egy puha homokos tengerparton.
1024138940_f1fefbdce1.jpg|2|Két kutya játszik a homokban a tengerparton.
1024138940_f1fefbdce1.jpg|3|Két kutya játszik együtt a tengerparton.
1024138940_f1fefbdce1.jpg|4|Két nagy barna kutya játszik egy homokos tengerparton.
102455176_5f8ead62d5.jpg|0|Egy férfi jégcsákányokat és görgőket használ a jég méretezéséhez.
102455176_5f8ead62d5.jpg|1|egy jégmászó kék kabátban és fekete nadrágban egy fagyott jégfalat méreget.
102455176_5f8ead62d5.jpg|2|Egy jégmászó, aki egy befagyott vízesést méreget.
102455176_5f8ead62d5.jpg|3|Egy személy kék és piros jégen mászik két csákánnyal .
102455176_5f8ead62d5.jpg|4|Hegymászó jégfalon mászik
1026685415_0431cbf574.jpg|0|Egy fekete kutya zöld játékot hord a szájában, miközben a fűben sétál.
1026685415_0431cbf574.jpg|1|Egy fekete kutya cipel valamit a fűben .
1026685415_0431cbf574.jpg|2|Egy fekete kutyának kék játék van a szájában.
1026685415_0431cbf574.jpg|3|Egy kutya a fűben kék cuccal a szájában.
1026685415_0431cbf574.jpg|4|Egy nedves fekete kutya zöld játékot cipel a fűben.
1028205764_7e8df9a2ea.jpg|0|Egy férfi és egy baba sárga kajakban ül a vízen.
1028205764_7e8df9a2ea.jpg|1|Egy férfi és egy kisfiú kék mentőmellényben evez egy sárga kenuban.
1028205764_7e8df9a2ea.jpg|2|Férfi és gyermek kajak szelíd vizeken keresztül.
1028205764_7e8df9a2ea.jpg|3|Egy férfi és egy fiatal fiú sárga kajakban lovagolnak.
1028205764_7e8df9a2ea.jpg|4|Férfi és gyermek sárga kajakban
1030985833_b0902ea560.jpg|0|Egy fekete és egy barna kutya felugrik, hogy elkapjon egy piros játékot.
1030985833_b0902ea560.jpg|1|Egy fekete és egy barna kutya piros játékkal játszik az udvaron.
1030985833_b0902ea560.jpg|2|Egy barna és fekete labor van kint, és a fekete labor egy játékot fog a szájába.
1030985833_b0902ea560.jpg|3|Fekete kutya rápattan a piros és fekete tárgyra, miközben a barna kutya kiugrik.
1030985833_b0902ea560.jpg|4|A Csokoládélaboratórium túl későn ugrik, hogy megszerezze a játékot, miközben a Black Lab befogja a műúton.
103106960_e8a41d64f8.jpg|0|Egy fiú bottal térdel a kapusháló előtt
103106960_e8a41d64f8.jpg|1|Egy piros kabátos gyerek utcai hokizni őrzi a kaput.
103106960_e8a41d64f8.jpg|2|Egy fiatal gyerek kapust játszik a jégkorongpályán .
103106960_e8a41d64f8.jpg|3|Egy fiatal férfi egy jégkorongkapu előtt térdel, jobb kezében egy hokiütővel.
103106960_e8a41d64f8.jpg|4|Jégkorongkapus fiú piros kabátban kuporog a kapu mellett, bottal.
103195344_5d2dc613a3.jpg|0|Egy fekete ruhás férfi ül egy modern művészeti építmény mellett egy üvegépület előtt.
103195344_5d2dc613a3.jpg|1|Egy férfi egy irodaház előtti szobor mellett ül és újságot olvas.
103195344_5d2dc613a3.jpg|2|egy férfi ül egy nagy szobor közelében.
103195344_5d2dc613a3.jpg|3|Egy férfi ül egy fém szobor előtt egy épület előtt.
103195344_5d2dc613a3.jpg|4|A hátizsákos férfi az épület udvarán ül egy művészeti szobor előtt.
103205630_682ca7285b.jpg|0|A jégen sátrat állítanak fel .
103205630_682ca7285b.jpg|1|Két férfi készül bemenni egy jeges horgászsátorba egy havas tavon.
103205630_682ca7285b.jpg|2|két férfi kék jeges horgászkunyhót állított fel egy jeges tavon
103205630_682ca7285b.jpg|3|Két férfi áll a jégen, és valami kék ponyvával letakart valamit néznek.
103205630_682ca7285b.jpg|4|Két ember áll egy kék sátorszerkezeten kívül egy havas felületen.
1032122270_ea6f0beedb.jpg|0|Egy nő három kutya közelében kuporog egy mezőn.
1032122270_ea6f0beedb.jpg|1|Három kutya játszik a füves dombon, kék éggel.
1032122270_ea6f0beedb.jpg|2|Három kutya áll a fűben, és egy személy ül mellettük
1032122270_ea6f0beedb.jpg|3|Három kutya egy füves dombon
1032122270_ea6f0beedb.jpg|4|Három kutya áll egy füves területen, miközben egy személy térdel a közelben.
1032460886_4a598ed535.jpg|0|egy ember áll a felhőkarcoló előtt
1032460886_4a598ed535.jpg|1|Egy ember áll a felhőkarcoló előtt.
1032460886_4a598ed535.jpg|2|Egy férfi áll egy nagyon magas épület előtt.
1032460886_4a598ed535.jpg|3|A piros inges férfi mögött egy nagy felhőkarcoló áll.
1032460886_4a598ed535.jpg|4|Van egy felhőkarcoló a távolban, egy férfi sétál a kamera előtt.
1034276567_49bb87c51c.jpg|0|Egy fiú nagyot harap egy finomságba, miközben kint ül.
1034276567_49bb87c51c.jpg|1|Egy pékáruba harapott gyerek .
1034276567_49bb87c51c.jpg|2|Egy kisfiú két kézzel vesz valamit a szájába.
1034276567_49bb87c51c.jpg|3|A fiú kint, az asztalnál eszi az ételt.
1034276567_49bb87c51c.jpg|4|A fiú pizzát eszik egy bádogtál fölött.
104136873_5b5d41be75.jpg|0|Az emberek leülnek a hegyoldalra és nézik a kilátást.
104136873_5b5d41be75.jpg|1|Három ember van egy dombtetőn, kilátással egy zöld völgyre.
104136873_5b5d41be75.jpg|2|Három ember lóg egy nagy domb tetején.
104136873_5b5d41be75.jpg|3|Három ember néz egy zöld völgyre.
104136873_5b5d41be75.jpg|4|Három ember pihen egy párkányon a hegyek felett.
1042020065_fb3d3ba5ba.jpg|0|Egy zöld inges fiú sok felfújható csónakot néz le.
1042020065_fb3d3ba5ba.jpg|1|Egy zöld inges fiú kajakosokat néz.
1042020065_fb3d3ba5ba.jpg|2|Egy fiú egy korláton át nézi a sok csónakot és tutajat lent a vízben.
1042020065_fb3d3ba5ba.jpg|3|Egy fiatal fiú felfújható csónakok tömegére néz.
1042020065_fb3d3ba5ba.jpg|4|Egy mezt viselő fiatal fiú lenéz egy párkányra a vízben lévő sok csónakra.
1042590306_95dea0916c.jpg|0|Egy férfi és egy nő pózol a kamerának, miközben egy másik férfi nézi.
1042590306_95dea0916c.jpg|1|Egy férfi egy nő kezét a szájához tartja néhány épület előtt, miközben egy másik férfi néz rá.
1042590306_95dea0916c.jpg|2|Egy többnemzetiségű pár pózol egy képhez
1042590306_95dea0916c.jpg|3|Ázsiai férfi és szőke nő kézen fogva a szabadban, férfi a háttérben karórákat tart.
1042590306_95dea0916c.jpg|4|Kék inges srác harapdálja a fekete csíkos kabátos lány kezét, miközben egy másik srác néz
1045521051_108ebc19be.jpg|0|Egy személy elvitelre eszik, miközben egy kis televíziót néz.
1045521051_108ebc19be.jpg|1|Egy személy a földön ül és a televízió előtt eszik.
1045521051_108ebc19be.jpg|2|Egy televízió , rajta egy lány képével .
1045521051_108ebc19be.jpg|3|Egy fiatal férfi ül a földön a televízió mellett, előtte egy gyorsétterem.
1045521051_108ebc19be.jpg|4|Valaki feküdt a tévé előtt és eszik .
1048710776_bb5b0a5c7c.jpg|0|pár többen ülnek a tengerpartra néző párkányon
1048710776_bb5b0a5c7c.jpg|1|Egy csapat ember ül egy falon a tengerparton.
1048710776_bb5b0a5c7c.jpg|2|Egy csapat tinédzser ül egy falon a tengerparton.
1048710776_bb5b0a5c7c.jpg|3|Emberek tömege a tengerparton.
1048710776_bb5b0a5c7c.jpg|4|Több fiatal ül egy sínen a zsúfolt strand felett.
1052358063_eae6744153.jpg|0|Egy fiú ugrál a gördeszkáján, míg egy másik gördeszkás fiú néz.
1052358063_eae6744153.jpg|1|Egy gyerek gördeszkás trükköt hajt végre, míg egy másik gördeszkás gyerek a falnak támaszkodik.
1052358063_eae6744153.jpg|2|Egy kisfiú gördeszkás trükközik a deszkáján, miközben egy másik fiatal gördeszkás nézi.
1052358063_eae6744153.jpg|3|egy fiatal fiú gördeszkás ugrás egy platformon a gördeszkán.
1052358063_eae6744153.jpg|4|Két gördeszkás.
105342180_4d4a40b47f.jpg|0|Egy lány egy nagy folyón evezve, hátulról nézve.
105342180_4d4a40b47f.jpg|1|Egy nő kajakozik a folyón.
105342180_4d4a40b47f.jpg|2|Egy nő evez egy csónakkal a folyón.
105342180_4d4a40b47f.jpg|3|Egy nő evezővel.
105342180_4d4a40b47f.jpg|4|Egy evezős nő ül egy csónakban a vízen.
1053804096_ad278b25f1.jpg|0|Egy copfos lány csobban a sekély vízben.
1053804096_ad278b25f1.jpg|1|Egy lány játszik a szörfözésben.
1053804096_ad278b25f1.jpg|2|egy copfos lány játszik az óceánban a tengerparton.
1053804096_ad278b25f1.jpg|3|Egy copfos lány játszik a vízben.
1053804096_ad278b25f1.jpg|4|Egy fiatal lány copfos játszik a vízben.
1055623002_8195a43714.jpg|0|Egy négyfős, pizsamát viselő gyerekcsoport párnacsatát folytat.
1055623002_8195a43714.jpg|1|Egy csoport gyerek párnacsatát rendez.
1055623002_8195a43714.jpg|2|Egy csoport kisgyerek párnacsatát játszik az ágyon.
1055623002_8195a43714.jpg|3|Gyerekek párnacsatáznak.
1055623002_8195a43714.jpg|4|Négy gyerek párnacsatát vív .
1055753357_4fa3d8d693.jpg|0|Két építési munkás ül egy gerendán szünetet tartva.
1055753357_4fa3d8d693.jpg|1|Két építőmunkás ül az épület oldalán.
1055753357_4fa3d8d693.jpg|2|Két építőmunkás ül egy I-gerendán.
1055753357_4fa3d8d693.jpg|3|Két építőmunkás foglal helyet egy acélgerendán.
1055753357_4fa3d8d693.jpg|4|Két férfi szünetet tart az építkezésben.
1056249424_ef2a2e041c.jpg|0|A gyerekek a vízben játszanak.
1056249424_ef2a2e041c.jpg|1|Két fiú, az egyik egy sárga és narancssárga labdával, egy kis vízben játszik a pálya előtt.
1056249424_ef2a2e041c.jpg|2|Két fiú játszik egy tócsában.
1056249424_ef2a2e041c.jpg|3|Két gyerek játszik egy léggömbbel a sárban egy napsütéses napon .
1056249424_ef2a2e041c.jpg|4|Két gyerek szaladgál és játszik a vízben.
1056338697_4f7d7ce270.jpg|0|Egy szőke nő kék ingben fuvarra vár.
1056338697_4f7d7ce270.jpg|1|Egy szőke nő az utcán taxit hív.
1056338697_4f7d7ce270.jpg|2|Egy nő a forgalom felé jelez , hátulról nézve.
1056338697_4f7d7ce270.jpg|3|Egy szőke hajú, kék színű felsőt viselő nő integet az utca szélén.
1056338697_4f7d7ce270.jpg|4|A kék ruhás nő kinyújtja a karját a szembejövő forgalom felé.
1056359656_662cee0814.jpg|0|Egy kislány nézi a vonatozásról szóló prospektust
1056359656_662cee0814.jpg|1|egy fiatal szőke lány magazinnal a kezében
1056359656_662cee0814.jpg|2|Egy fiatal lány a vonaton egy könyvet olvas a vonatozásról.
1056359656_662cee0814.jpg|3|Egy fiatal lány ül egy ülésen, és egy vonatfüzetet néz.
1056359656_662cee0814.jpg|4|Gyermek ülve nézi a vonatút prospektusát
1056873310_49c665eb22.jpg|0|Egy barna kutya fut egy fekete kutya után a sziklás parton.
1056873310_49c665eb22.jpg|1|Egy barna kutya fut a fekete kutya után.
1056873310_49c665eb22.jpg|2|Két kutya játszik a tengerparton.
1056873310_49c665eb22.jpg|3|Két kutya köveken fut át ​​egy víztest közelében.
1056873310_49c665eb22.jpg|4|Két kutya rohan egymás felé egy sziklás területen, háttérben vízzel.
1057089366_ca83da0877.jpg|0|Egy fiú leereszkedik egy magas ugródeszka végéről.
1057089366_ca83da0877.jpg|1|Egy gyerek leugrik egy magas ugródeszkáról a medencébe.
1057089366_ca83da0877.jpg|2|Egy kölyök leugrik a ugródeszkáról és beugrik a lenti úszómedencébe.
1057089366_ca83da0877.jpg|3|Egy kisgyerek ugrik le egy magas merülésről a medencénél.
1057089366_ca83da0877.jpg|4|A fiú egy magas ugródeszkáról ugrik a medencébe.
1057210460_09c6f4c6c1.jpg|0|Egy srác áll az ablaknál, leveszi a pólóját.
1057210460_09c6f4c6c1.jpg|1|A krómozott ajtó mellett áll egy férfi nadrágtartóban.
1057210460_09c6f4c6c1.jpg|2|Egy férfi felveszi az ingét a lift közelében.
1057210460_09c6f4c6c1.jpg|3|Egy férfi lehajtott fejjel áll a lift mellett.
1057210460_09c6f4c6c1.jpg|4|A férfi felveszi az ingét egy lift közelében.
1057251835_6ded4ada9c.jpg|0|Egy világos színű kutya szaladgál a parton.
1057251835_6ded4ada9c.jpg|1|Egy kis sárga kutya fut a tengerparton
1057251835_6ded4ada9c.jpg|2|Egy cserzett kutya fut a homokos tengerparton.
1057251835_6ded4ada9c.jpg|3|Egy fehér kutya fut le egy sziklás tengerparton.
1057251835_6ded4ada9c.jpg|4|Világosbarna kutya fut végig a parton.
106490881_5a2dd9b7bd.jpg|0|Egy fiú kék úszónadrágjában a tengerparton.
106490881_5a2dd9b7bd.jpg|1|Egy fiú mosolyog a kamerába a tengerparton.
106490881_5a2dd9b7bd.jpg|2|Egy fiatal fiú úszónadrágban sétál kinyújtott karral a tengerparton.
106490881_5a2dd9b7bd.jpg|3|Gyermekek játszanak a tengerparton.
106490881_5a2dd9b7bd.jpg|4|A fiú az óceán partján játszik.
106514190_bae200f463.jpg|0|Egy túrázó magasan áll egy blöffön , kilátással a lenti hegyekre .
106514190_bae200f463.jpg|1|egy személy a sí úgy néz ki, a domb felett hóval borított táj
106514190_bae200f463.jpg|2|Egy síelő egy hóval borított hegyre néz.
106514190_bae200f463.jpg|3|Egy síelő a gyönyörű fehér hóval borított tájra néz.
106514190_bae200f463.jpg|4|Egy síelő megáll a hegytetőn.
1067180831_a59dc64344.jpg|0|Egy fekete-fehér kutya egy sárga és lila tárgyat próbál elkapni egy mélyen vágott udvaron.
1067180831_a59dc64344.jpg|1|Egy fekete-fehér kutya egy sárga játék után ugrik.
1067180831_a59dc64344.jpg|2|egy fekete-fehér kutya ugrik a frizbiért.
1067180831_a59dc64344.jpg|3|Egy fekete kutya felugrik, hogy elkapjon egy lila és zöld játékot.
1067180831_a59dc64344.jpg|4|Egy kutya ugrik, hogy elkapjon egy játékot.
1067675215_7336a694d6.jpg|0|Egy kék rövidnadrágos férfi fekszik az utcán.
1067675215_7336a694d6.jpg|1|Egy kék rövidnadrágos férfi kint fekszik a parkolóban.
1067675215_7336a694d6.jpg|2|Egy férfi feküdt az utca közepén nagy forgalom közben.
1067675215_7336a694d6.jpg|3|Egy férfi egy szőnyegen fekszik egy parkolóban egy barna terepjáró és egy sárga, nyitott ajtós pickup között.
1067675215_7336a694d6.jpg|4|Egy félmeztelen férfi fekszik egy forgalmas utca közepén.
1067790824_f3cc97239b.jpg|0|Egy fehér és fekete kutya és egy barna kutya homokos terepen.
1067790824_f3cc97239b.jpg|1|Egy gyapjas kutya üldöz egy dobermannt a tengerparton.
1067790824_f3cc97239b.jpg|2|Egy kutya üldöz egy másikat a parton.
1067790824_f3cc97239b.jpg|3|A két nagy kutya szaladgál a homokban.
1067790824_f3cc97239b.jpg|4|Két nagytestű kutya üldözi egymást a tengerparton.
1072153132_53d2bb1b60.jpg|0|Egy fekete-fehér kutya elkap egy játékot a levegőben.
1072153132_53d2bb1b60.jpg|1|Egy kutya és egy teniszlabda.
1072153132_53d2bb1b60.jpg|2|Egy kutya ugrál, hogy elkapjon egy rádobott tárgyat.
1072153132_53d2bb1b60.jpg|3|Egy kutya ugrál, miközben üldöz egy teniszlabdát egy füves mezőn.
1072153132_53d2bb1b60.jpg|4|Többszínű kutya ugrál, hogy elkapjon egy teniszlabdát egy füves területen.
107318069_e9f2ef32de.jpg|0|Légballonokat nézegető tömeg éjszaka.
107318069_e9f2ef32de.jpg|1|Hőlégballonok csoportja világított éjszaka.
107318069_e9f2ef32de.jpg|2|Az emberek hőlégballonokat néznek a parkban.
107318069_e9f2ef32de.jpg|3|Emberek nézik a hőlégballonokat.
107318069_e9f2ef32de.jpg|4|Hét nagy léggömb sorakozik éjszaka a tömeg közelében.
1075716537_62105738b4.jpg|0|Egy gyerek sisakkal a fején biciklizik.
1075716537_62105738b4.jpg|1|Egy kisfiú biciklizik le a dombról egy miniatűr dirt bike-en.
1075716537_62105738b4.jpg|2|Egy fiatal fiú sisakos biciklivel közlekedik az úton.
1075716537_62105738b4.jpg|3|A kisfiú versenyen biciklizik .
1075716537_62105738b4.jpg|4|A fiatal fiú gyorsan pedáloz egy BMX-versenyen.
107582366_d86f2d3347.jpg|0|Nyolc fős csoport gyűlik össze este egy asztal körül.
107582366_d86f2d3347.jpg|1|Egy csoport ember gyűlt össze a sötétben.
107582366_d86f2d3347.jpg|2|Egy csoport ember ül egy asztal körül kint a verandán éjjel.
107582366_d86f2d3347.jpg|3|Egy csoport ember ül együtt a szabadban éjszaka.
107582366_d86f2d3347.jpg|4|Egy csoport ember ül egy asztalnál egy elsötétített szobában.
1075867198_27ca2e7efe.jpg|0|Egy barna inges és sötét rövidnadrágos férfi játszik a tengerparton a két fekete kutyájával.
1075867198_27ca2e7efe.jpg|1|Egy rövidnadrágos férfi két fekete kutyával egy labdát dobáló játékot tart a strandon.
1075867198_27ca2e7efe.jpg|2|egy férfi két fekete kutyával játszik a tengerparton
1075867198_27ca2e7efe.jpg|3|Egy férfi két kutyával a tengerparton
1075867198_27ca2e7efe.jpg|4|Férfi a tengerparton két kutyával.
1075881101_d55c46bece.jpg|0|egy fiú letisztítja a buborékokat az arcáról.
1075881101_d55c46bece.jpg|1|Egy habbal borított fiú arcát tisztára törölték.
1075881101_d55c46bece.jpg|2|Egy fiút buborékok borítanak.
1075881101_d55c46bece.jpg|3|Habbal borított gyerek mászik egy fekete felfújható rámpán.
1075881101_d55c46bece.jpg|4|Egy szappanos vízzel borított személyt letakarítanak.
1077546505_a4f6c4daa9.jpg|0|Egy kék rövidnadrágos fiú lecsúszik egy csúszdán a medencébe.
1077546505_a4f6c4daa9.jpg|1|Egy kék úszónadrágos fiú sárga csúszdán csúszik le a vízben felfújható játékokkal úszó medencébe.
1077546505_a4f6c4daa9.jpg|2|Egy fiú lelovagol egy csúszdán egy kis kerti medencébe.
1077546505_a4f6c4daa9.jpg|3|Egy fiú lecsúszik egy csúszdán egy színes csövekkel ellátott medencébe.
1077546505_a4f6c4daa9.jpg|4|Egy gyermek leesik a csúszdáról a vízmedencén lebegő színes léggömbökre.
1077931201_1e0bb83105.jpg|0|Egy búvárruhás férfi a levegőbe dob egy búvárruhát viselő babát.
1077931201_1e0bb83105.jpg|1|Egy búvárruhás férfi feldob egy kisgyermeket a levegőbe, és készen áll, hogy elkapja.
